comparison,cutoff,expected,is_cohorts,is_n,is_share,is_value,kind,met,oos_cohorts,oos_n,oos_net_per_dollar_contrast,oos_share,oos_value,status,value_basis
feature:sc_close_location_signal_day,SIGNAL_CLOSE,no separation expected (not leading on IS),25,198,0.44,-0.03068851814812663,continuous_feature,False,27,210,-0.03004007640137635,0.37037037037037035,-0.030392131356783626,SEPARATION_APPEARED_POST_HOC,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_signal_day_range_pct,SIGNAL_CLOSE,same sign within-cohort contrast; one-sided share >= 0.62,25,198,0.76,0.12825696903854197,continuous_feature,True,27,210,0.09352166285817137,0.7407407407407407,0.09375514870153097,REPLICATED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_mean_range_pct_10,SIGNAL_CLOSE,same sign within-cohort contrast; one-sided share >= 0.62,25,198,0.88,0.16168137469179816,continuous_feature,False,27,210,0.07681070152733771,0.5925925925925926,0.07708302239800116,SAME_SIGN_WEAKER,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_volume_ratio_frozen,SIGNAL_CLOSE,no separation expected (not leading on IS),25,198,0.4,-0.06579930427169275,continuous_feature,False,27,210,-0.004553276556212611,0.37037037037037035,-0.004310553916476654,SEPARATION_APPEARED_POST_HOC,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_volume_trend_5_vs_15,SIGNAL_CLOSE,no separation expected (not leading on IS),25,198,0.64,0.02220390879145796,continuous_feature,True,27,210,0.001369225600625938,0.4444444444444444,0.001715116123437241,NO_SIGNAL_CONFIRMED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_dollar_volume_signal_day,SIGNAL_CLOSE,no separation expected (not leading on IS),25,198,0.48,-0.057059619926177786,continuous_feature,True,27,210,-0.03813191465915411,0.5185185185185185,-0.0378964579335282,NO_SIGNAL_CONFIRMED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_dollar_volume_mean20,SIGNAL_CLOSE,no separation expected (not leading on IS),25,198,0.6,0.023355048705446597,continuous_feature,True,27,210,-0.024448015050477254,0.4074074074074074,-0.02476560633381753,NO_SIGNAL_CONFIRMED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_dollar_volume_cv20,SIGNAL_CLOSE,same sign within-cohort contrast; one-sided share >= 0.62,25,198,0.68,0.06446117374502955,continuous_feature,True,27,210,0.08282249081783397,0.7407407407407407,0.08303599217925442,REPLICATED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_volume_expansion_15,SIGNAL_CLOSE,same sign within-cohort contrast; one-sided share >= 0.62,25,198,0.64,0.05914413539209532,continuous_feature,True,27,210,0.04772761837214965,0.7037037037037037,0.04804360565271303,REPLICATED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_move_per_volume_unit,SIGNAL_CLOSE,no separation expected (not leading on IS),25,198,0.4,-0.059105706009492935,continuous_feature,True,27,210,-0.02491870508013586,0.4444444444444444,-0.025311602834859222,NO_SIGNAL_CONFIRMED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_signal_close,SIGNAL_CLOSE,same sign within-cohort contrast; one-sided share >= 0.62,25,200,0.24,-0.10500948566719999,continuous_feature,False,27,215,-0.006023462450629583,0.48148148148148145,-0.006726093722546946,SAME_SIGN_WEAKER,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:cx_rank_in_eight,SIGNAL_CLOSE,same sign within-cohort contrast; one-sided share >= 0.62,25,200,0.36,-0.08563866450841544,continuous_feature,True,27,215,-0.06361085055980505,0.25925925925925924,-0.06380323011757628,REPLICATED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:cx_ret15_minus_cohort_median,SIGNAL_CLOSE,same sign within-cohort contrast; one-sided share >= 0.62,25,200,0.64,0.08563866450841544,continuous_feature,True,27,215,0.06361085055980505,0.7407407407407407,0.06380323011757628,REPLICATED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:cx_gap_to_next_rank,SIGNAL_CLOSE,same sign within-cohort contrast; one-sided share >= 0.62,25,200,0.92,0.12944513882722225,continuous_feature,True,27,215,0.02705432088446434,0.7037037037037037,0.027283595962329852,REPLICATED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:cx_cohort_ret15_spread,SIGNAL_CLOSE,no separation expected (not leading on IS),0,200,0.36,-0.08563866450841544,continuous_feature,False,0,215,-0.06361085055980505,0.25925925925925924,-0.06380323011757628,SEPARATION_APPEARED_POST_HOC,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:cx_ret15_field_percentile,SIGNAL_CLOSE,same sign within-cohort contrast; one-sided share >= 0.62,25,200,0.64,0.08563866450841544,continuous_feature,True,27,215,0.06361085055980505,0.7407407407407407,0.06380323011757628,REPLICATED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:ep_prior_selections,SIGNAL_CLOSE,no separation expected (not leading on IS),24,200,0.48,-0.04073222876902533,continuous_feature,False,26,215,-0.04494678487624915,0.25925925925925924,-0.04529108823678589,SEPARATION_APPEARED_POST_HOC,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:ep_sessions_since_last_selection,SIGNAL_CLOSE,no separation expected (not leading on IS),7,84,0.21428571428571427,-0.09641061220485692,continuous_feature,False,6,86,-0.08335855309680776,0.3333333333333333,-0.08325540222017647,SEPARATION_APPEARED_POST_HOC,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:po_overnight_gap_vs_signal_close,PRE_ORDER,no separation expected (not leading on IS),25,200,0.64,0.03922382944193992,continuous_feature,True,27,215,0.03404247947377789,0.4444444444444444,0.03422816062552137,NO_SIGNAL_CONFIRMED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:po_signal_close_to_preorder,PRE_ORDER,no separation expected (not leading on IS),25,200,0.6,0.018356655046310254,continuous_feature,True,27,215,-0.024716247852722365,0.4444444444444444,-0.02504221364731846,NO_SIGNAL_CONFIRMED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:po_open_to_preorder,PRE_ORDER,no separation expected (not leading on IS),25,200,0.48,0.002524258105559166,continuous_feature,False,27,215,-0.07200000613963925,0.2962962962962963,-0.07230521116101554,SEPARATION_APPEARED_POST_HOC,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:po_preorder_location_in_partial_range,PRE_ORDER,no separation expected (not leading on IS),25,200,0.48,0.009914854496807353,continuous_feature,True,27,215,-0.061685441018351626,0.4074074074074074,-0.0620092537034807,NO_SIGNAL_CONFIRMED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:po_partial_range_pct,PRE_ORDER,same sign within-cohort contrast; one-sided share >= 0.62,25,200,0.92,0.15956355832289995,continuous_feature,True,27,215,0.1259885385237447,0.7037037037037037,0.12618440866262456,REPLICATED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:po_partial_volume_vs_elapsed_window_mean,PRE_ORDER,no separation expected (not leading on IS),25,200,0.44,-0.03591740003216489,continuous_feature,False,27,215,-0.028676202738901407,0.37037037037037035,-0.02842656576371113,SEPARATION_APPEARED_POST_HOC,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:po_preorder_price,PRE_ORDER,same sign within-cohort contrast; one-sided share >= 0.62,25,200,0.32,-0.08128546169808008,continuous_feature,False,27,215,-0.027487106352643075,0.4074074074074074,-0.028172704211179792,SAME_SIGN_WEAKER,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
claim:C1,SIGNAL_CLOSE,"difference > 0.10, rank-1 hit > 0.65, gap share >= 0.62",,,,0.312424654551072,claim,True,,,,,0.16514493941799793,REPLICATED,"rank-1 minus ranks 2-8, cohort-equal-weight; rank-1 hit IS 0.88 OOS 0.78; gap share IS 0.92 OOS 0.70"
claim:C2,SIGNAL_CLOSE,positive; within share <= 0.38,,,,0.1970103444954902,claim,True,,,,,0.06578897253143641,REPLICATED,ranks 2-8: T1 minus T3 of close_vs_high20; within share IS 0.20 OOS 0.30
claim:C3,SIGNAL_CLOSE,positive; share >= 0.62,,,,0.16168137469179816,claim,False,,,,,0.07708302239800116,NOT_REPLICATED,sc_mean_range_pct_10 within-cohort half contrast; share IS 0.88 OOS 0.59
claim:C4,SIGNAL_CLOSE,positive,,,,0.10407413606404371,claim,True,,,,,0.025419954133925934,REPLICATED,"band 10-20 minus max(20-40, 40-80), cohort-equal-weight; OOS bands {'10-20': 0.09325961594471371, '20-40': 0.06783966181078778, '40-80': 0.0063716351153058366}"
claim:C5,SIGNAL_CLOSE,positive; S2 nearer S1 (S2 sparse),,,,0.09215819937274192,claim,False,,,,,-0.07558279896411976,NOT_REPLICATED,"ret3<=0 minus ret3>0, cohort-equal-weight; S2 closer to S1 than to S3; OOS S1 +0.073 S2 -0.133 (n=5) S3 +0.123"
claim:C6,SIGNAL_CLOSE,"positive, modest",,,,0.027182786139451402,claim,False,,,,,-0.005777452365629515,NOT_REPLICATED,"FIRST minus OVERLAPPING_REPEAT, cohort-equal-weight; "
claim:C7,SIGNAL_CLOSE,up_sessions negative and top3 share positive,,,,-0.10122595131419965,claim,True,,,,,-0.0936836884186813,REPLICATED,up_sessions within contrast (expect negative); top3 share within contrast (expect positive); top3 share contrast IS +0.097 OOS +0.114
claim:C8,PRE_ORDER,no separation,,,,0.6,claim,True,,,,,0.4444444444444444,REPLICATED,pre-order features within-cohort share (expect between 0.38 and 0.62); location share IS 0.48 OOS 0.41
claim:C9,SIGNAL_CLOSE,"best = 10-20 x off_high, worst = >=20 x near_high",,,,0.1724268111576361,claim,False,,,,,0.11601929600098869,NOT_REPLICATED,"2x2 state map: best and worst cell; IS best 10-20 x off_high; OOS best 10-20 x off_high, worst 10-20 x near_high"
claim:C10,SIGNAL_CLOSE,archetype and accrual shape,,,,,claim,False,,,,,0.33873221799297903,NOT_REPLICATED,"IMMEDIATE_FADE most common; age-2 mean at least half of age-10 mean; S1 accrues from age 5 to 10; OOS archetypes {'IMMEDIATE_FADE': 87, 'CONTINUATION': 56, 'OTHER': 7, 'ADVERSE_THEN_FADE': 37, 'UNLABELED_STALE_OR_OPEN': 1, 'FADE_THEN_REVERSAL': 28}; OOS mean age2 +0.026 age10 +0.077; S1 age5 +0.025 age10 +0.097"
probe:P1,SIGNAL_CLOSE,higher net per entry dollar and hit rate than the full book; unused exposure idle,,,,,probe,True,27,27,0.15470922563890593,0.7777777777777778,0.2344467473519247,REPLICATED,rank-1 only: net per entry dollar and hit rate vs the full book; exposure share 0.16
probe:P2,SIGNAL_CLOSE,higher net per entry dollar and hit rate,,,,,probe,True,20,47,0.021761660313197803,0.717391304347826,0.10149918202621655,REPLICATED,10-20 band and off-high: net per entry dollar and hit rate vs the full book; exposure share 0.24
probe:P3,SIGNAL_CLOSE,the excluded cell has lower net per entry dollar than the retained set,,,,,probe,True,27,155,0.014892530903424656,0.5974025974025974,0.0946300526164434,REPLICATED,exclude near-high names priced 20-80: net per entry dollar and hit rate vs the full book; exposure share 0.78
probe:P4,SIGNAL_CLOSE,higher net per entry dollar; tests whether the frozen momentum halving points the right way on sizing-neutral grounds,,,,,probe,False,21,50,0.0037447721183392763,0.56,0.08348229383135802,NOT_REPLICATED,non-positive three-session momentum only: net per entry dollar and hit rate vs the full book; exposure share 0.45
