basis,cohort_equal_weight_mean,cohorts,completed,entry_exposure,exposure_share_of_full_book,fixed_dollar_net,hit_rate,hypothetical_net_at_full_book_exposure,mean_price_return,median_price_return,n,name,net_per_entry_dollar,oos_status,probe,securities,set,split,subset
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.0657475668728132,27,169,666917.3445,0.7575878450280107,48534.4087121,0.5443786982248521,64064.39732451819,0.06232673992637889,0.021217197096593976,169,10-20 band and off-high,0.07277424873165822,REPLICATED,P2,123,complement,OOS,complement
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.07708533392670791,27,215,880316.8489000001,1.0,70194.2838535,0.5813953488372093,70194.2838535,0.0768614558419184,0.053811659192825156,216,10-20 band and off-high,0.07973752171301875,REPLICATED,P2,153,full_book,OOS,full book
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.14556608965447065,42,90,414240.0994,0.2509509339878067,70678.18514639999,0.7333333333333333,281641.4508735565,0.16586864144511945,0.18421682626538988,91,10-20 band and off-high,0.17062130211143917,REPLICATED,P2,73,probe,ALL,10-20 band and off-high
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.040713379791425926,52,325,1236441.5411,0.7490490660121933,58186.439719199996,0.5076923076923077,77680.41155030666,0.03815843183712935,0.0007191657677094732,325,10-20 band and off-high,0.04705959625671784,REPLICATED,P2,201,complement,ALL,complement
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.06599732499827943,52,415,1650681.6405,1.0,128864.6248656,0.5566265060240964,128864.6248656,0.06585462187259708,0.033483580167417926,416,10-20 band and off-high,0.0780675217460868,REPLICATED,P2,246,full_book,ALL,full book
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.10889530455333052,25,131,533070.4191,0.6919714204394594,77540.0009703,0.6641221374045801,112056.65245691166,0.12172357678028595,0.14128642111050027,131,exclude near-high names priced 20-80,0.14545920799959838,REPLICATED,P3,103,probe,IS,exclude near-high names priced 20-80
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",-0.08877315685635441,25,69,237294.37250000003,0.3080285795605408,-18869.659958199998,0.2753623188405797,-61259.44542263262,-0.07451207952321924,-0.015499070055796649,69,exclude near-high names priced 20-80,-0.07952004828180237,REPLICATED,P3,48,complement,IS,complement
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.05402227535557666,25,200,770364.7916,1.0,58670.3410121,0.53,58670.3410121,0.05402227535557666,0.011733283331168132,200,exclude near-high names priced 20-80,0.07615916725665166,REPLICATED,P3,138,full_book,IS,full book
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.09847017585701652,27,154,684456.4299,0.7775114502866355,64770.1479751,0.5974025974025974,83304.42973054867,0.09779650833484935,0.10040999202517531,155,exclude near-high names priced 20-80,0.0946300526164434,REPLICATED,P3,114,probe,OOS,exclude near-high names priced 20-80
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.03946071388011539,23,61,195860.419,0.22248854971336443,5424.135878399998,0.5409836065573771,24379.393390752015,0.024009028236814084,0.01237675687014883,61,exclude near-high names priced 20-80,0.027693884788431898,REPLICATED,P3,49,complement,OOS,complement
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.07708533392670791,27,215,880316.8489000001,1.0,70194.2838535,0.5813953488372093,70194.2838535,0.0768614558419184,0.053811659192825156,216,exclude near-high names priced 20-80,0.07973752171301875,REPLICATED,P3,153,full_book,OOS,full book
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.10348225696101364,52,285,1217526.8490000002,0.7375903500272802,142310.1489454,0.6280701754385964,192939.27712060843,0.10879456435713775,0.11464435146443508,286,exclude near-high names priced 20-80,0.11688460838648822,REPLICATED,P3,187,probe,ALL,exclude near-high names priced 20-80
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",-0.027327760461795966,48,130,433154.79150000005,0.26240964997271987,-13445.524079800003,0.4,-51238.679984512004,-0.0282829443435113,-0.0035773323540227997,130,exclude near-high names priced 20-80,-0.031040921960573536,REPLICATED,P3,89,complement,ALL,complement
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.06599732499827943,52,415,1650681.6405,1.0,128864.6248656,0.5566265060240964,128864.6248656,0.06585462187259708,0.033483580167417926,416,exclude near-high names priced 20-80,0.0780675217460868,REPLICATED,P3,246,full_book,ALL,full book
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.12508628914342074,19,41,294395.5181,0.3821507957140132,41587.5711396,0.6097560975609756,108825.02825068697,0.13425835651177784,0.05216329378925322,41,non-positive three-session momentum only,0.14126428081515008,NOT_REPLICATED,P4,38,probe,IS,non-positive three-session momentum only
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.03292808977067882,25,159,475969.2735,0.6178492042859868,17082.769872499997,0.5094339622641509,27648.768913187458,0.0333324682649839,0.0007191657677094732,159,non-positive three-session momentum only,0.03589048878488161,NOT_REPLICATED,P4,118,complement,IS,complement
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.05402227535557666,25,200,770364.7916,1.0,58670.3410121,0.53,58670.3410121,0.05402227535557666,0.011733283331168132,200,non-positive three-session momentum only,0.07615916725665166,NOT_REPLICATED,P4,138,full_book,IS,full book
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.012228690592826143,21,50,393470.01550000004,0.4469640857058007,32847.7794478,0.56,73490.86984456501,0.07447598525570723,0.058669199345285916,50,non-positive three-session momentum only,0.08348229383135802,NOT_REPLICATED,P4,43,probe,OOS,non-positive three-session momentum only
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.0878114895569459,27,165,486846.8334,0.5530359142941993,37346.5044057,0.5878787878787879,67529.98031486385,0.07758432571652786,0.053811659192825156,166,non-positive three-session momentum only,0.07671099377371446,NOT_REPLICATED,P4,133,complement,OOS,complement
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.07708533392670791,27,215,880316.8489000001,1.0,70194.2838535,0.5813953488372093,70194.2838535,0.0768614558419184,0.053811659192825156,216,non-positive three-session momentum only,0.07973752171301875,NOT_REPLICATED,P4,153,full_book,OOS,full book
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.06583604990435857,40,91,687865.5336000001,0.41671605034126513,74435.3505874,0.5824175824175825,178623.67078599916,0.1014108997776731,0.05216329378925322,91,non-positive three-session momentum only,0.10821206609646009,NOT_REPLICATED,P4,78,probe,ALL,non-positive three-session momentum only
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.06142523965970211,52,324,962816.1069,0.583283949658735,54429.2742782,0.5493827160493827,93315.22718916785,0.05586813641160351,0.03123399049606429,325,non-positive three-session momentum only,0.05653132917920029,NOT_REPLICATED,P4,219,complement,ALL,complement
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.06599732499827943,52,415,1650681.6405,1.0,128864.6248656,0.5566265060240964,128864.6248656,0.06585462187259708,0.033483580167417926,416,non-positive three-session momentum only,0.0780675217460868,NOT_REPLICATED,P4,246,full_book,ALL,full book
