completed,cumulative_net_completed,family,holding_age,note,panel,split,tickets
415,87075.4869834,PARENT,7,,CAUSAL_PREORDER_QTY,ALL,416
415,106564.7984996,PARENT,8,,CAUSAL_PREORDER_QTY,ALL,416
415,111303.74915009999,PARENT,9,,CAUSAL_PREORDER_QTY,ALL,416
415,104399.1668686,PARENT,10,,CAUSAL_PREORDER_QTY,ALL,416
0,-978.6622328000001,R4,0,"cross-trade holding-age curve, not an account equity curve; H0 is entry cost state",LEGACY_FILL_QTY,IS,200
200,11970.435320463996,R4,1,,LEGACY_FILL_QTY,IS,200
200,26477.9175886,R4,2,,LEGACY_FILL_QTY,IS,200
200,29275.5552847,R4,3,,LEGACY_FILL_QTY,IS,200
200,29186.3693942,R4,4,,LEGACY_FILL_QTY,IS,200
200,34011.2517404,R4,5,,LEGACY_FILL_QTY,IS,200
200,39079.62373097,R4,6,,LEGACY_FILL_QTY,IS,200
200,36798.9601824,R4,7,,LEGACY_FILL_QTY,IS,200
200,47470.477357300006,R4,8,,LEGACY_FILL_QTY,IS,200
200,45955.112578,R4,9,,LEGACY_FILL_QTY,IS,200
200,47298.0924309,R4,10,,LEGACY_FILL_QTY,IS,200
0,-1091.5128975,R4,0,"cross-trade holding-age curve, not an account equity curve; H0 is entry cost state",LEGACY_FILL_QTY,OOS,216
216,5165.1462655,R4,1,,LEGACY_FILL_QTY,OOS,216
215,21639.4559422,R4,2,,LEGACY_FILL_QTY,OOS,216
215,33381.1091274,R4,3,,LEGACY_FILL_QTY,OOS,216
215,33481.5800353,R4,4,,LEGACY_FILL_QTY,OOS,216
215,36259.639722,R4,5,,LEGACY_FILL_QTY,OOS,216
215,41505.6179919,R4,6,,LEGACY_FILL_QTY,OOS,216
215,53746.918413,R4,7,,LEGACY_FILL_QTY,OOS,216
215,65857.2042427,R4,8,,LEGACY_FILL_QTY,OOS,216
215,73936.7601006,R4,9,,LEGACY_FILL_QTY,OOS,216
215,66892.75719589999,R4,10,,LEGACY_FILL_QTY,OOS,216
0,-2070.1751303,R4,0,"cross-trade holding-age curve, not an account equity curve; H0 is entry cost state",LEGACY_FILL_QTY,ALL,416
416,17135.581585963995,R4,1,,LEGACY_FILL_QTY,ALL,416
415,48117.3735308,R4,2,,LEGACY_FILL_QTY,ALL,416
415,62656.6644121,R4,3,,LEGACY_FILL_QTY,ALL,416
415,62667.9494295,R4,4,,LEGACY_FILL_QTY,ALL,416
415,70270.8914624,R4,5,,LEGACY_FILL_QTY,ALL,416
415,80585.24172287,R4,6,,LEGACY_FILL_QTY,ALL,416
415,90545.8785954,R4,7,,LEGACY_FILL_QTY,ALL,416
415,113327.68160000001,R4,8,,LEGACY_FILL_QTY,ALL,416
415,119891.8726786,R4,9,,LEGACY_FILL_QTY,ALL,416
415,114190.8496268,R4,10,,LEGACY_FILL_QTY,ALL,416
0,-977.0681469000001,R4,0,"cross-trade holding-age curve, not an account equity curve; H0 is entry cost state",CAUSAL_PREORDER_QTY,IS,200
200,11972.744616237995,R4,1,,CAUSAL_PREORDER_QTY,IS,200
200,26431.359781199997,R4,2,,CAUSAL_PREORDER_QTY,IS,200
200,29193.9506711,R4,3,,CAUSAL_PREORDER_QTY,IS,200
200,29070.154338899996,R4,4,,CAUSAL_PREORDER_QTY,IS,200
200,33991.9539684,R4,5,,CAUSAL_PREORDER_QTY,IS,200
200,39093.80857687,R4,6,,CAUSAL_PREORDER_QTY,IS,200
200,36765.347017,R4,7,,CAUSAL_PREORDER_QTY,IS,200
200,47390.0671592,R4,8,,CAUSAL_PREORDER_QTY,IS,200
200,45662.2507111,R4,9,,CAUSAL_PREORDER_QTY,IS,200
200,47006.4890214,R4,10,,CAUSAL_PREORDER_QTY,IS,200
0,-1088.9199313000001,R4,0,"cross-trade holding-age curve, not an account equity curve; H0 is entry cost state",CAUSAL_PREORDER_QTY,OOS,216
216,5082.8406658,R4,1,,CAUSAL_PREORDER_QTY,OOS,216
215,21642.8756976,R4,2,,CAUSAL_PREORDER_QTY,OOS,216
215,33426.995455,R4,3,,CAUSAL_PREORDER_QTY,OOS,216
215,33460.3999505,R4,4,,CAUSAL_PREORDER_QTY,OOS,216
215,36148.8814973,R4,5,,CAUSAL_PREORDER_QTY,OOS,216
215,41402.7104185,R4,6,,CAUSAL_PREORDER_QTY,OOS,216
215,53682.3254914,R4,7,,CAUSAL_PREORDER_QTY,OOS,216
215,65786.268894,R4,8,,CAUSAL_PREORDER_QTY,OOS,216
215,73819.5575248,R4,9,,CAUSAL_PREORDER_QTY,OOS,216
215,66838.8026239,R4,10,,CAUSAL_PREORDER_QTY,OOS,216
0,-2065.9880782,R4,0,"cross-trade holding-age curve, not an account equity curve; H0 is entry cost state",CAUSAL_PREORDER_QTY,ALL,416
416,17055.585282037995,R4,1,,CAUSAL_PREORDER_QTY,ALL,416
415,48074.2354788,R4,2,,CAUSAL_PREORDER_QTY,ALL,416
415,62620.946126099996,R4,3,,CAUSAL_PREORDER_QTY,ALL,416
415,62530.554289399995,R4,4,,CAUSAL_PREORDER_QTY,ALL,416
415,70140.8354657,R4,5,,CAUSAL_PREORDER_QTY,ALL,416
415,80496.51899537,R4,6,,CAUSAL_PREORDER_QTY,ALL,416
415,90447.67250839999,R4,7,,CAUSAL_PREORDER_QTY,ALL,416
415,113176.3360532,R4,8,,CAUSAL_PREORDER_QTY,ALL,416
415,119481.8082359,R4,9,,CAUSAL_PREORDER_QTY,ALL,416
415,113845.29164529999,R4,10,,CAUSAL_PREORDER_QTY,ALL,416
0,-972.1228758000001,R5,0,"cross-trade holding-age curve, not an account equity curve; H0 is entry cost state",LEGACY_FILL_QTY,IS,200
200,10710.856650079995,R5,1,,LEGACY_FILL_QTY,IS,200
200,27800.7986982,R5,2,,LEGACY_FILL_QTY,IS,200
200,33632.839597800004,R5,3,,LEGACY_FILL_QTY,IS,200
200,33258.7634959,R5,4,,LEGACY_FILL_QTY,IS,200
200,43501.243711,R5,5,,LEGACY_FILL_QTY,IS,200
200,48637.56994749,R5,6,,LEGACY_FILL_QTY,IS,200
200,46609.01838539999,R5,7,,LEGACY_FILL_QTY,IS,200
200,58288.305731600005,R5,8,,LEGACY_FILL_QTY,IS,200
200,56660.91663969999,R5,9,,LEGACY_FILL_QTY,IS,200
200,58955.4439736,R5,10,,LEGACY_FILL_QTY,IS,200
0,-1120.2251173,R5,0,"cross-trade holding-age curve, not an account equity curve; H0 is entry cost state",LEGACY_FILL_QTY,OOS,216
216,3050.2024516999986,R5,1,,LEGACY_FILL_QTY,OOS,216
215,28473.639702499997,R5,2,,LEGACY_FILL_QTY,OOS,216
215,36229.0158635,R5,3,,LEGACY_FILL_QTY,OOS,216
215,34395.3992409,R5,4,,LEGACY_FILL_QTY,OOS,216
215,34029.4765413,R5,5,,LEGACY_FILL_QTY,OOS,216
215,42114.5498942,R5,6,,LEGACY_FILL_QTY,OOS,216
215,55401.1894722,R5,7,,LEGACY_FILL_QTY,OOS,216
215,70632.92467879999,R5,8,,LEGACY_FILL_QTY,OOS,216
215,80281.6465421,R5,9,,LEGACY_FILL_QTY,OOS,216
215,70137.151093,R5,10,,LEGACY_FILL_QTY,OOS,216
0,-2092.3479931,R5,0,"cross-trade holding-age curve, not an account equity curve; H0 is entry cost state",LEGACY_FILL_QTY,ALL,416
416,13761.059101779994,R5,1,,LEGACY_FILL_QTY,ALL,416
415,56274.4384007,R5,2,,LEGACY_FILL_QTY,ALL,416
415,69861.8554613,R5,3,,LEGACY_FILL_QTY,ALL,416
415,67654.16273679999,R5,4,,LEGACY_FILL_QTY,ALL,416
415,77530.7202523,R5,5,,LEGACY_FILL_QTY,ALL,416
415,90752.11984169,R5,6,,LEGACY_FILL_QTY,ALL,416
415,102010.20785759999,R5,7,,LEGACY_FILL_QTY,ALL,416
415,128921.23041039999,R5,8,,LEGACY_FILL_QTY,ALL,416
415,136942.56318179998,R5,9,,LEGACY_FILL_QTY,ALL,416
415,129092.5950666,R5,10,,LEGACY_FILL_QTY,ALL,416
0,-970.7888166,R5,0,"cross-trade holding-age curve, not an account equity curve; H0 is entry cost state",CAUSAL_PREORDER_QTY,IS,200
200,10729.210770079995,R5,1,,CAUSAL_PREORDER_QTY,IS,200
200,27740.028341100002,R5,2,,CAUSAL_PREORDER_QTY,IS,200
200,33497.6638985,R5,3,,CAUSAL_PREORDER_QTY,IS,200
200,33111.118798699994,R5,4,,CAUSAL_PREORDER_QTY,IS,200
200,43450.2086464,R5,5,,CAUSAL_PREORDER_QTY,IS,200
200,48598.13359169,R5,6,,CAUSAL_PREORDER_QTY,IS,200
200,46521.20273209999,R5,7,,CAUSAL_PREORDER_QTY,IS,200
200,58166.385337600004,R5,8,,CAUSAL_PREORDER_QTY,IS,200
200,56364.189436099994,R5,9,,CAUSAL_PREORDER_QTY,IS,200
200,58670.3410121,R5,10,,CAUSAL_PREORDER_QTY,IS,200
0,-1117.8959879000001,R5,0,"cross-trade holding-age curve, not an account equity curve; H0 is entry cost state",CAUSAL_PREORDER_QTY,OOS,216
216,3058.055710899999,R5,1,,CAUSAL_PREORDER_QTY,OOS,216
215,28496.247419199997,R5,2,,CAUSAL_PREORDER_QTY,OOS,216
215,36293.7369054,R5,3,,CAUSAL_PREORDER_QTY,OOS,216
215,34455.442346300006,R5,4,,CAUSAL_PREORDER_QTY,OOS,216
215,34033.4143411,R5,5,,CAUSAL_PREORDER_QTY,OOS,216
215,42171.688538999995,R5,6,,CAUSAL_PREORDER_QTY,OOS,216
215,55486.4148592,R5,7,,CAUSAL_PREORDER_QTY,OOS,216
215,70678.22105329999,R5,8,,CAUSAL_PREORDER_QTY,OOS,216
215,80273.8434156,R5,9,,CAUSAL_PREORDER_QTY,OOS,216
215,70194.2838535,R5,10,,CAUSAL_PREORDER_QTY,OOS,216
0,-2088.6848045,R5,0,"cross-trade holding-age curve, not an account equity curve; H0 is entry cost state",CAUSAL_PREORDER_QTY,ALL,416
416,13787.266480979994,R5,1,,CAUSAL_PREORDER_QTY,ALL,416
415,56236.2757603,R5,2,,CAUSAL_PREORDER_QTY,ALL,416
415,69791.4008039,R5,3,,CAUSAL_PREORDER_QTY,ALL,416
415,67566.561145,R5,4,,CAUSAL_PREORDER_QTY,ALL,416
415,77483.6229875,R5,5,,CAUSAL_PREORDER_QTY,ALL,416
415,90769.82213069,R5,6,,CAUSAL_PREORDER_QTY,ALL,416
415,102007.61759129999,R5,7,,CAUSAL_PREORDER_QTY,ALL,416
415,128844.6063909,R5,8,,CAUSAL_PREORDER_QTY,ALL,416
415,136638.0328517,R5,9,,CAUSAL_PREORDER_QTY,ALL,416
415,128864.6248656,R5,10,,CAUSAL_PREORDER_QTY,ALL,416
