symbol,observed_session,resolution,event_type,canonical_price_factor,canonical_status,applied_as_canonical_event,observed_price_ratio,residual_discontinuity_after_factor,filing_form,filing_date,filing_items,source,ratio_text,issuer,cik,evidence_status,filing_candidates,cohorts_touched,roles,note
AEHR,2026-04-08,NO_ACTION_FILING_FOUND,,,,False,1.254524,,,,,,,AEHR TEST SYSTEMS,1040470,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-04-08;2026-04-15,ranking_window_shortlist;recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AEO,2025-09-04,NO_ACTION_FILING_FOUND,,,,False,1.30132,,,,,,,AMERICAN EAGLE OUTFITTERS INC,919012,UNRESOLVED_NO_FILING_EVIDENCE,0,2025-09-10;2025-09-17,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AEVA,2025-12-03,NO_ACTION_FILING_FOUND,,,,False,1.257117,,,,,,,"Aeva Technologies, Inc.",1789029,UNRESOLVED_NO_FILING_EVIDENCE,0,2025-12-10,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AEVA,2026-05-07,NO_ACTION_FILING_FOUND,,,,False,0.827377,,,,,,,"Aeva Technologies, Inc.",1789029,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-05-27,ranking_window_shortlist;recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AEVA,2026-05-12,NO_ACTION_FILING_FOUND,,,,False,1.22859,,,,,,,"Aeva Technologies, Inc.",1789029,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-05-27,ranking_window_shortlist;recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AEVA,2026-08-06,NO_ACTION_FILING_FOUND,,,,False,1.315655,,,,,,,"Aeva Technologies, Inc.",1789029,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-08-12,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AFJK,2025-12-04,NO_ACTION_FILING_FOUND,,,,False,0.778643,,,,,,,"Aimei Health Technology Co., Ltd.",1979005,UNRESOLVED_NO_FILING_EVIDENCE,0,2025-12-24,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AFJK,2025-12-09,NO_ACTION_FILING_FOUND,,,,False,1.21,,,,,,,"Aimei Health Technology Co., Ltd.",1979005,UNRESOLVED_NO_FILING_EVIDENCE,0,2025-12-24,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AFJK,2025-12-10,NO_ACTION_FILING_FOUND,,,,False,0.509188,,,,,,,"Aimei Health Technology Co., Ltd.",1979005,UNRESOLVED_NO_FILING_EVIDENCE,0,2025-12-24,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AFJK,2025-12-11,NO_ACTION_FILING_FOUND,,,,False,0.831763,,,,,,,"Aimei Health Technology Co., Ltd.",1979005,UNRESOLVED_NO_FILING_EVIDENCE,0,2025-12-24,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AFJK,2025-12-12,NO_ACTION_FILING_FOUND,,,,False,0.789474,,,,,,,"Aimei Health Technology Co., Ltd.",1979005,UNRESOLVED_NO_FILING_EVIDENCE,0,2025-12-24,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AFJK,2025-12-16,NO_ACTION_FILING_FOUND,,,,False,0.799248,,,,,,,"Aimei Health Technology Co., Ltd.",1979005,UNRESOLVED_NO_FILING_EVIDENCE,0,2025-12-24,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AFJK,2025-12-18,NO_ACTION_FILING_FOUND,,,,False,2.025706,,,,,,,"Aimei Health Technology Co., Ltd.",1979005,UNRESOLVED_NO_FILING_EVIDENCE,0,2025-12-24,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AFJK,2025-12-19,NO_ACTION_FILING_FOUND,,,,False,0.676602,,,,,,,"Aimei Health Technology Co., Ltd.",1979005,UNRESOLVED_NO_FILING_EVIDENCE,0,2025-12-24,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AFJK,2025-12-23,NO_ACTION_FILING_FOUND,,,,False,1.422256,,,,,,,"Aimei Health Technology Co., Ltd.",1979005,UNRESOLVED_NO_FILING_EVIDENCE,0,2025-12-24,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AGL,2026-03-19,FILING_EVIDENCE_DOES_NOT_EXPLAIN_MOVE,,,,False,0.798316,,,,,https://www.sec.gov/Archives/edgar/data/1831097/000162828026019406/agl-20260317.htm,,"agilon health, inc.",1831097,FILING_EVIDENCE_FOUND,12,2026-04-08,ranking_window_shortlist,"issuer filings in the window mention a split, but no stated ratio both matches this session's date and flattens the observed unit change"
AGL,2026-03-30,FILING_EVIDENCE_DOES_NOT_EXPLAIN_MOVE,,,,False,0.808421,,,,,https://www.sec.gov/Archives/edgar/data/1831097/000162828026019406/agl-20260317.htm,,"agilon health, inc.",1831097,FILING_EVIDENCE_FOUND,12,2026-04-08,ranking_window_shortlist,"issuer filings in the window mention a split, but no stated ratio both matches this session's date and flattens the observed unit change"
AGL,2026-03-31,PRIMARY_VERIFIED_ACTION,reverse_split,25.0,PRIMARY_VERIFIED,True,24.375963,1.0256,8-K,2026-03-30,"3.03,5.03,9.01",https://www.sec.gov/Archives/edgar/data/1831097/000162828026022074/agl-20260330.htm,1-for-25,"agilon health, inc.",1831097,FILING_EVIDENCE_FOUND,12,2026-04-08;2026-04-22,ranking_window_shortlist,
AGL,2026-04-01,FILING_EVIDENCE_DOES_NOT_EXPLAIN_MOVE,,,,False,1.233397,,,,,https://www.sec.gov/Archives/edgar/data/1831097/000162828026019406/agl-20260317.htm,,"agilon health, inc.",1831097,FILING_EVIDENCE_FOUND,12,2026-04-08;2026-04-22,ranking_window_shortlist,"issuer filings in the window mention a split, but no stated ratio both matches this session's date and flattens the observed unit change"
AGL,2026-04-06,FILING_EVIDENCE_DOES_NOT_EXPLAIN_MOVE,,,,False,1.310698,,,,,https://www.sec.gov/Archives/edgar/data/1831097/000162828026019406/agl-20260317.htm,,"agilon health, inc.",1831097,FILING_EVIDENCE_FOUND,12,2026-04-08;2026-04-22,ranking_window_shortlist,"issuer filings in the window mention a split, but no stated ratio both matches this session's date and flattens the observed unit change"
AGL,2026-05-07,FILING_EVIDENCE_DOES_NOT_EXPLAIN_MOVE,,,,False,1.578204,,,,,https://www.sec.gov/Archives/edgar/data/1831097/000162828026019406/agl-20260317.htm,,"agilon health, inc.",1831097,FILING_EVIDENCE_FOUND,12,2026-05-13,ranking_window_shortlist;recorded_selection_window,"issuer filings in the window mention a split, but no stated ratio both matches this session's date and flattens the observed unit change"
AHMA,2025-11-24,NO_ACTION_FILING_FOUND,,,,False,1.239604,,,,,,,AMBITIONS ENTERPRISE MANAGEMENT CO. L.L.C,2010959,UNRESOLVED_NO_FILING_EVIDENCE,0,2025-12-03,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AHMA,2025-12-01,NO_ACTION_FILING_FOUND,,,,False,2.193347,,,,,,,AMBITIONS ENTERPRISE MANAGEMENT CO. L.L.C,2010959,UNRESOLVED_NO_FILING_EVIDENCE,0,2025-12-03,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AHMA,2025-12-03,NO_ACTION_FILING_FOUND,,,,False,1.211538,,,,,,,AMBITIONS ENTERPRISE MANAGEMENT CO. L.L.C,2010959,UNRESOLVED_NO_FILING_EVIDENCE,0,2025-12-03,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AHMA,2025-12-23,NO_ACTION_FILING_FOUND,,,,False,0.784908,,,,,,,AMBITIONS ENTERPRISE MANAGEMENT CO. L.L.C,2010959,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-01-14,ranking_window_shortlist;recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AHMA,2025-12-26,NO_ACTION_FILING_FOUND,,,,False,1.261154,,,,,,,AMBITIONS ENTERPRISE MANAGEMENT CO. L.L.C,2010959,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-01-14,ranking_window_shortlist;recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AHMA,2026-01-13,NO_ACTION_FILING_FOUND,,,,False,2.186538,,,,,,,AMBITIONS ENTERPRISE MANAGEMENT CO. L.L.C,2010959,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-01-14,ranking_window_shortlist;recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AHMA,2026-01-14,NO_ACTION_FILING_FOUND,,,,False,1.25589,,,,,,,AMBITIONS ENTERPRISE MANAGEMENT CO. L.L.C,2010959,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-01-14,ranking_window_shortlist;recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AHMA,2026-01-15,NO_ACTION_FILING_FOUND,,,,False,1.891656,,,,,,,AMBITIONS ENTERPRISE MANAGEMENT CO. L.L.C,2010959,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-01-14,recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AHMA,2026-01-16,NO_ACTION_FILING_FOUND,,,,False,0.798427,,,,,,,AMBITIONS ENTERPRISE MANAGEMENT CO. L.L.C,2010959,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-01-14,recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AHMA,2026-01-22,NO_ACTION_FILING_FOUND,,,,False,1.418981,,,,,,,AMBITIONS ENTERPRISE MANAGEMENT CO. L.L.C,2010959,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-01-14,recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AIOS,2026-04-22,FILING_EVIDENCE_DOES_NOT_EXPLAIN_MOVE,,,,False,0.757717,,,,,https://www.sec.gov/Archives/edgar/data/1603993/000121390026046241/ea0287127-6k_aiostech.htm,,AIOS Tech Inc.,1603993,FILING_EVIDENCE_FOUND,4,2026-05-06,ranking_window_shortlist,"issuer filings in the window mention a split, but no stated ratio both matches this session's date and flattens the observed unit change"
AIOS,2026-04-27,PRIMARY_VERIFIED_ACTION,reverse_split,20.0,PRIMARY_VERIFIED,True,17.452887,1.1459,6-K,2026-04-21,,https://www.sec.gov/Archives/edgar/data/1603993/000121390026046241/ea0287127-6k_aiostech.htm,20-for-1,AIOS Tech Inc.,1603993,FILING_EVIDENCE_FOUND,4,2026-05-06,ranking_window_shortlist,
AIOS,2026-05-01,FILING_EVIDENCE_DOES_NOT_EXPLAIN_MOVE,,,,False,1.371751,,,,,https://www.sec.gov/Archives/edgar/data/1603993/000121390026046241/ea0287127-6k_aiostech.htm,,AIOS Tech Inc.,1603993,FILING_EVIDENCE_FOUND,4,2026-05-06,ranking_window_shortlist,"issuer filings in the window mention a split, but no stated ratio both matches this session's date and flattens the observed unit change"
AIOS,2026-05-04,FILING_EVIDENCE_DOES_NOT_EXPLAIN_MOVE,,,,False,0.821114,,,,,https://www.sec.gov/Archives/edgar/data/1603993/000121390026046241/ea0287127-6k_aiostech.htm,,AIOS Tech Inc.,1603993,FILING_EVIDENCE_FOUND,4,2026-05-06,ranking_window_shortlist,"issuer filings in the window mention a split, but no stated ratio both matches this session's date and flattens the observed unit change"
AIOS,2026-05-05,FILING_EVIDENCE_DOES_NOT_EXPLAIN_MOVE,,,,False,1.281541,,,,,https://www.sec.gov/Archives/edgar/data/1603993/000121390026046241/ea0287127-6k_aiostech.htm,,AIOS Tech Inc.,1603993,FILING_EVIDENCE_FOUND,4,2026-05-06,ranking_window_shortlist,"issuer filings in the window mention a split, but no stated ratio both matches this session's date and flattens the observed unit change"
AKAN,2026-04-13,NO_ACTION_FILING_FOUND,,,,False,4.411765,,,,,,,AKANDA CORP.,1888014,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-04-29,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AKAN,2026-04-22,NO_ACTION_FILING_FOUND,,,,False,3.230769,,,,,,,AKANDA CORP.,1888014,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-04-29;2026-05-06,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AKAN,2026-04-23,NO_ACTION_FILING_FOUND,,,,False,1.208571,,,,,,,AKANDA CORP.,1888014,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-04-29;2026-05-06,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AKAN,2026-04-24,NO_ACTION_FILING_FOUND,,,,False,1.312678,,,,,,,AKANDA CORP.,1888014,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-04-29;2026-05-06,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AKAN,2026-04-28,NO_ACTION_FILING_FOUND,,,,False,1.4274,,,,,,,AKANDA CORP.,1888014,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-04-29;2026-05-06,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AKAN,2026-04-29,NO_ACTION_FILING_FOUND,,,,False,1.451155,,,,,,,AKANDA CORP.,1888014,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-04-29;2026-05-06,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AKAN,2026-04-30,NO_ACTION_FILING_FOUND,,,,False,1.271282,,,,,,,AKANDA CORP.,1888014,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-05-06,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AKAN,2026-05-04,NO_ACTION_FILING_FOUND,,,,False,0.749649,,,,,,,AKANDA CORP.,1888014,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-05-06,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AKAN,2026-05-05,NO_ACTION_FILING_FOUND,,,,False,0.769549,,,,,,,AKANDA CORP.,1888014,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-05-06,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AKTX,2026-05-11,NO_ACTION_FILING_FOUND,,,,False,0.800933,,,,,,,Akari Therapeutics Plc,1541157,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-05-27,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AKTX,2026-05-12,NO_ACTION_FILING_FOUND,,,,False,0.593204,,,,,,,Akari Therapeutics Plc,1541157,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-05-27,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AKTX,2026-05-21,NO_ACTION_FILING_FOUND,,,,False,1.469388,,,,,,,Akari Therapeutics Plc,1541157,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-05-27,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AKTX,2026-05-22,NO_ACTION_FILING_FOUND,,,,False,1.968254,,,,,,,Akari Therapeutics Plc,1541157,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-05-27,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AKTX,2026-05-26,NO_ACTION_FILING_FOUND,,,,False,0.756321,,,,,,,Akari Therapeutics Plc,1541157,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-05-27,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
ALEX,2025-12-09,NO_ACTION_FILING_FOUND,,,,False,1.38177,,,,,,,,,UNRESOLVED_NO_CIK_FOR_TICKER,0,2025-12-17,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
ALHC,2026-06-09,NO_ACTION_FILING_FOUND,,,,False,1.251222,,,,,,,"Alignment Healthcare, Inc.",1832466,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-06-17;2026-06-24,ranking_window_shortlist;recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
ALHC,2026-07-08,NO_ACTION_FILING_FOUND,,,,False,0.832156,,,,,,,"Alignment Healthcare, Inc.",1832466,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-06-24,recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
ALIT,2026-07-01,PRIMARY_VERIFIED_ACTION,reverse_split,20.0,PRIMARY_VERIFIED,True,20.017544,1.0009,8-K,2026-06-18,"8.01,9.01",https://www.sec.gov/Archives/edgar/data/1809104/000162828026044110/alit-20260618.htm,1:20,"Alight, Inc. / Delaware",1809104,FILING_EVIDENCE_FOUND,6,2026-07-08;2026-07-15;2026-07-22,ranking_window_shortlist,
ALMS,2025-12-05,NO_ACTION_FILING_FOUND,,,,False,1.33835,,,,,,,ALUMIS INC.,1847367,UNRESOLVED_NO_FILING_EVIDENCE,0,2025-12-10,ranking_window_shortlist;recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
ALMS,2026-01-06,NO_ACTION_FILING_FOUND,,,,False,2.676311,,,,,,,ALUMIS INC.,1847367,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-01-07;2026-01-14;2026-01-21;2026-01-28,ranking_window_shortlist;recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
ALMU,2026-04-13,NO_ACTION_FILING_FOUND,,,,False,1.30451,,,,,,,"Aeluma, Inc.",1828805,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-04-22;2026-04-29,ranking_window_shortlist;recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
ALMU,2026-04-22,NO_ACTION_FILING_FOUND,,,,False,1.228182,,,,,,,"Aeluma, Inc.",1828805,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-04-22;2026-04-29;2026-05-06;2026-05-13,ranking_window_shortlist;recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
ALMU,2026-04-30,NO_ACTION_FILING_FOUND,,,,False,1.217475,,,,,,,"Aeluma, Inc.",1828805,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-04-29;2026-05-06;2026-05-13,ranking_window_shortlist;recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
ALMU,2026-05-14,NO_ACTION_FILING_FOUND,,,,False,0.790978,,,,,,,"Aeluma, Inc.",1828805,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-04-29;2026-05-06,recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
ALOY,2026-06-01,FILING_EVIDENCE_DOES_NOT_EXPLAIN_MOVE,,,,False,1.201639,,,,,https://www.sec.gov/Archives/edgar/data/1567900/000143774926002707/blkbx20260202_8k.htm,,REALLOYS INC.,1567900,FILING_EVIDENCE_FOUND,6,2026-06-03;2026-06-10;2026-06-17,ranking_window_shortlist;recorded_selection_window,"issuer filings in the window mention a split, but no stated ratio both matches this session's date and flattens the observed unit change"
AMBQ,2026-05-12,NO_ACTION_FILING_FOUND,,,,False,1.456479,,,,,,,"Ambiq Micro, Inc.",1500412,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-05-13;2026-05-20,ranking_window_shortlist;recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AMCR,2026-01-15,PRIMARY_VERIFIED_ACTION,reverse_split,5,PRIMARY_VERIFIED,True,5.046433,1.0093,8-K,2025-12-11,"8.01,9.01",https://www.sec.gov/Archives/edgar/data/1748790/000110465925120321/tm2533112d1_8k.htm,1-for-5,Amcor plc,1748790,FILING_EVIDENCE_FOUND,14,2026-01-21;2026-01-28;2026-02-04,ranking_window_shortlist;recorded_selection_window,
AMIX,2026-07-24,FILING_EVIDENCE_DOES_NOT_EXPLAIN_MOVE,,,,False,0.829545,,,,,https://www.sec.gov/Archives/edgar/data/1617867/000143774926021495/amix20260619_8k.htm,,"Autonomix Medical, Inc.",1617867,FILING_EVIDENCE_FOUND,22,2026-08-05,ranking_window_shortlist,"issuer filings in the window mention a split, but no stated ratio both matches this session's date and flattens the observed unit change"
AMIX,2026-07-29,FILING_EVIDENCE_DOES_NOT_EXPLAIN_MOVE,,,,False,1.563406,,,,,https://www.sec.gov/Archives/edgar/data/1617867/000143774926021495/amix20260619_8k.htm,,"Autonomix Medical, Inc.",1617867,FILING_EVIDENCE_FOUND,22,2026-08-05,ranking_window_shortlist,"issuer filings in the window mention a split, but no stated ratio both matches this session's date and flattens the observed unit change"
AMIX,2026-07-30,FILING_EVIDENCE_DOES_NOT_EXPLAIN_MOVE,,,,False,0.781938,,,,,https://www.sec.gov/Archives/edgar/data/1617867/000143774926021495/amix20260619_8k.htm,,"Autonomix Medical, Inc.",1617867,FILING_EVIDENCE_FOUND,22,2026-08-05,ranking_window_shortlist,"issuer filings in the window mention a split, but no stated ratio both matches this session's date and flattens the observed unit change"
AMIX,2026-08-04,FILING_EVIDENCE_DOES_NOT_EXPLAIN_MOVE,,,,False,1.478022,,,,,https://www.sec.gov/Archives/edgar/data/1617867/000143774926021495/amix20260619_8k.htm,,"Autonomix Medical, Inc.",1617867,FILING_EVIDENCE_FOUND,22,2026-08-05,ranking_window_shortlist,"issuer filings in the window mention a split, but no stated ratio both matches this session's date and flattens the observed unit change"
AMIX,2026-08-05,FILING_EVIDENCE_DOES_NOT_EXPLAIN_MOVE,,,,False,0.698462,,,,,https://www.sec.gov/Archives/edgar/data/1617867/000143774926021495/amix20260619_8k.htm,,"Autonomix Medical, Inc.",1617867,FILING_EVIDENCE_FOUND,22,2026-08-05,ranking_window_shortlist,"issuer filings in the window mention a split, but no stated ratio both matches this session's date and flattens the observed unit change"
AMLX,2026-08-18,NO_ACTION_FILING_FOUND,,,,False,1.393756,,,,,,,"Amylyx Pharmaceuticals, Inc.",1658551,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-08-19;2026-08-26,ranking_window_shortlist;recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AMN,2026-01-14,NO_ACTION_FILING_FOUND,,,,False,1.276943,,,,,,,AMN HEALTHCARE SERVICES INC,1142750,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-02-04,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
ANL,2026-04-08,NO_ACTION_FILING_FOUND,,,,False,1.224427,,,,,,,Adlai Nortye Group Ltd.,1944552,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-04-15,ranking_window_shortlist;recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
ANL,2026-04-14,NO_ACTION_FILING_FOUND,,,,False,1.298267,,,,,,,Adlai Nortye Group Ltd.,1944552,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-04-15,ranking_window_shortlist;recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
