age_sessions,check,classification,cohorts,contrast_group,contrast_hit_rate,contrast_mean,contrast_n,cuts_source,effect,feature,group,historical_effect,hit_effect,hit_rate,is_frozen_hold,mean,median,n,name,pooled_spearman,securities,t1_low_mean,t3_high_mean,within_cohort_mean_spearman,within_cohort_positive_share
,M8a,REPORTED,52,,,,,A11 frozen,0.107122,po_signal_close_to_preorder,all,,0.0756,,,,,408,po_signal_close_to_preorder,0.041273,225,-0.0177,0.089422,-0.022894,0.4615
,M8b,REPORTED,52,,,,,A11 frozen,0.06744,po_preorder_location_in_partial_range,all,,-0.0326,,,,,408,po_preorder_location_in_partial_range,-0.013695,225,-0.029171,0.038269,-0.023581,0.4615
,M8c,REPORTED,52,,,,,A11 frozen,0.071549,po_overnight_gap_vs_signal_close,all,,0.0901,,,,,408,po_overnight_gap_vs_signal_close,0.056768,225,-0.018945,0.052604,0.025641,0.5769
,M4,INCONCLUSIVE_SPARSE,,,,,,A11 frozen bands and median,,sc_close_vs_high20 x price_band,"[10,20)/off_high",,,,,,,0,"price band [10,20) / off_high",,,,,,
,M4,INCONCLUSIVE_SPARSE,,,,,,A11 frozen bands and median,,sc_close_vs_high20 x price_band,"[10,20)/near_high",,,,,,,0,"price band [10,20) / near_high",,,,,,
,M4,INCONCLUSIVE_SPARSE,,,,,,A11 frozen bands and median,,sc_close_vs_high20 x price_band,"[20,40)/off_high",,,,,,,0,"price band [20,40) / off_high",,,,,,
,M4,INCONCLUSIVE_SPARSE,,,,,,A11 frozen bands and median,,sc_close_vs_high20 x price_band,"[20,40)/near_high",,,,,,,0,"price band [20,40) / near_high",,,,,,
,M4,INCONCLUSIVE_SPARSE,,,,,,A11 frozen bands and median,,sc_close_vs_high20 x price_band,"[40,80)/off_high",,,,,,,0,"price band [40,80) / off_high",,,,,,
,M4,INCONCLUSIVE_SPARSE,,,,,,A11 frozen bands and median,,sc_close_vs_high20 x price_band,"[40,80)/near_high",,,,,,,0,"price band [40,80) / near_high",,,,,,
,M9,REPORTED,,,,,,A11 frozen,,ep_episode,FIRST,,,0.5244,,0.000611,0.008562,225,repeat-selection episode,,,,,,
,M9,REPORTED,,,,,,A11 frozen,,ep_episode,LATER_REPEAT,,,0.5667,,0.037328,0.090742,30,repeat-selection episode,,,,,,
,M9,REPORTED,,,,,,A11 frozen,,ep_episode,OVERLAPPING_REPEAT,,,0.5817,,0.010586,0.024017,153,repeat-selection episode,,,,,,
1,M10,,,,,,,,,,rank 1,,,0.7647,False,0.051874,0.042711,51,,,,,,,
2,M10,,,,,,,,,,rank 1,,,0.7,False,0.060476,0.06032,50,,,,,,,
3,M10,,,,,,,,,,rank 1,,,0.68,False,0.056426,0.069436,50,,,,,,,
4,M10,,,,,,,,,,rank 1,,,0.76,False,0.01815,0.085734,50,,,,,,,
5,M10,,,,,,,,,,rank 1,,,0.74,False,0.0768,0.090718,50,,,,,,,
6,M10,,,,,,,,,,rank 1,,,0.7143,False,0.095093,0.078516,49,,,,,,,
7,M10,,,,,,,,,,rank 1,,,0.6939,False,0.058568,0.099763,49,,,,,,,
8,M10,,,,,,,,,,rank 1,,,0.6939,True,0.057506,0.116667,49,,,,,,,
9,M10,,,,,,,,,,rank 1,,,0.6939,True,0.033417,0.104082,49,,,,,,,
10,M10,,,,,,,,,,rank 1,,,0.7143,True,0.063914,0.081118,49,,,,,,,
1,M10,,,,,,,,,,ranks 2-8,,,0.4669,False,-0.010779,-0.002126,362,,,,,,,
2,M10,,,,,,,,,,ranks 2-8,,,0.482,False,-0.009381,-0.001054,361,,,,,,,
3,M10,,,,,,,,,,ranks 2-8,,,0.5152,False,-0.006542,0.001262,361,,,,,,,
4,M10,,,,,,,,,,ranks 2-8,,,0.5167,False,-0.004916,0.004039,360,,,,,,,
5,M10,,,,,,,,,,ranks 2-8,,,0.5028,False,-0.007564,0.000781,360,,,,,,,
6,M10,,,,,,,,,,ranks 2-8,,,0.4861,False,-0.010398,-0.001793,360,,,,,,,
7,M10,,,,,,,,,,ranks 2-8,,,0.5014,False,-0.007487,0.000443,359,,,,,,,
8,M10,,,,,,,,,,ranks 2-8,,,0.5181,True,-0.00605,0.00411,359,,,,,,,
9,M10,,,,,,,,,,ranks 2-8,,,0.5153,True,-0.017007,0.004938,359,,,,,,,
10,M10,,,,,,,,,,ranks 2-8,,,0.5265,True,-0.00071,0.003441,359,,,,,,,
