model,level,key,r1_net,r2_net,delta,common_tickets,common_difference,added_tickets,added_net,dropped_tickets,dropped_net_removed
R4,COHORT,2026-02-25,-1472.82,-1472.82,0.0,,,,,,
R4,COHORT,2026-03-04,366.15,3437.27,3071.11,,,,,,
R4,COHORT,2026-03-11,6099.32,6099.32,0.0,,,,,,
R4,COHORT,2026-03-18,4173.55,4173.55,0.0,,,,,,
R4,COHORT,2026-03-25,173.48,460.68,287.2,,,,,,
R4,COHORT,2026-04-01,2857.07,4500.82,1643.75,,,,,,
R4,COHORT,2026-04-08,-970.63,904.25,1874.88,,,,,,
R4,COHORT,2026-04-15,-2162.31,-4633.31,-2471.0,,,,,,
R4,COHORT,2026-04-22,-369.1,-3844.16,-3475.05,,,,,,
R4,COHORT,2026-04-29,1997.35,5162.09,3164.74,,,,,,
R4,COHORT,2026-05-06,-1050.62,-480.83,569.79,,,,,,
R4,COHORT,2026-05-13,-826.02,-1371.0,-544.98,,,,,,
R4,COHORT,2026-05-20,3645.68,5092.92,1447.24,,,,,,
R4,COHORT,2026-05-27,2914.43,5657.86,2743.43,,,,,,
R4,COHORT,2026-06-03,3699.11,8843.73,5144.63,,,,,,
R4,COHORT,2026-06-10,5581.43,12321.36,6739.93,,,,,,
R4,COHORT,2026-06-17,10327.83,8886.16,-1441.67,,,,,,
R4,COHORT,2026-06-24,2796.28,1977.14,-819.14,,,,,,
R4,COHORT,2026-07-01,5516.34,4155.2,-1361.15,,,,,,
R4,COHORT,2026-07-08,4290.2,6634.36,2344.17,,,,,,
R4,COHORT,2026-07-15,-3706.52,-1188.08,2518.44,,,,,,
R4,COHORT,2026-07-22,-2967.25,-1186.6,1780.65,,,,,,
R4,COHORT,2026-07-29,-198.85,1159.66,1358.51,,,,,,
R4,COHORT,2026-08-05,-1426.3,3709.46,5135.76,,,,,,
R4,COHORT,2026-08-12,3957.02,4236.09,279.07,,,,,,
R4,COHORT,2026-08-19,4286.82,8531.02,4244.2,,,,,,
R4,COHORT,2026-08-26,1784.35,132.14,-1652.21,,,,,,
R4,SYMBOL_EFFECT,ASTC,,,6700.63,,,,,,
R4,SYMBOL_EFFECT,WETO,,,4536.13,,,,,,
R4,SYMBOL_EFFECT,UGRO,,,4277.4,,,,,,
R4,SYMBOL_EFFECT,STI,,,4199.72,,,,,,
R4,SYMBOL_EFFECT,DFNS,,,3903.76,,,,,,
R4,SYMBOL_EFFECT,INBS,,,3859.14,,,,,,
R4,SYMBOL_EFFECT,PMI,,,-3857.11,,,,,,
R4,SYMBOL_EFFECT,ZVZZT,,,-3664.73,,,,,,
R4,SYMBOL_EFFECT,VEEE,,,3552.7,,,,,,
R4,SYMBOL_EFFECT,AGL,,,-3381.67,,,,,,
R4,SYMBOL_EFFECT,NPT,,,3345.03,,,,,,
R4,SYMBOL_EFFECT,VELO,,,-3337.0,,,,,,
R4,SYMBOL_EFFECT,BREA,,,3336.69,,,,,,
R4,SYMBOL_EFFECT,GLTO,,,3130.95,,,,,,
R4,SYMBOL_EFFECT,AKAN,,,3083.04,,,,,,
R5,TOTAL,ALL,65676.39,129092.6,63416.2,330,-9022.88,85,75365.07,85,-2925.99
R5,COHORT,2025-09-03,-1630.3,148.01,1778.31,,,,,,
R5,COHORT,2025-09-10,-1762.79,983.13,2745.92,,,,,,
R5,COHORT,2025-09-17,-1911.06,3117.34,5028.41,,,,,,
R5,COHORT,2025-09-24,-5830.79,-2556.75,3274.04,,,,,,
R5,COHORT,2025-10-01,-3458.1,2635.06,6093.16,,,,,,
R5,COHORT,2025-10-08,7034.81,9111.97,2077.16,,,,,,
R5,COHORT,2025-10-15,11231.48,6344.86,-4886.62,,,,,,
R5,COHORT,2025-10-22,8872.01,6417.44,-2454.57,,,,,,
R5,COHORT,2025-10-29,2683.13,3610.88,927.75,,,,,,
R5,COHORT,2025-11-05,2280.57,2648.81,368.24,,,,,,
R5,COHORT,2025-11-12,-2911.93,-2200.64,711.3,,,,,,
R5,COHORT,2025-11-19,-1590.41,208.29,1798.7,,,,,,
R5,COHORT,2025-11-26,-4236.75,-4236.75,0.0,,,,,,
R5,COHORT,2025-12-03,-2656.5,-2974.98,-318.48,,,,,,
R5,COHORT,2025-12-10,1209.34,1174.89,-34.45,,,,,,
R5,COHORT,2025-12-17,311.97,439.77,127.8,,,,,,
R5,COHORT,2025-12-24,-2630.77,-4834.28,-2203.51,,,,,,
R5,COHORT,2025-12-31,-7389.35,-5329.44,2059.91,,,,,,
R5,COHORT,2026-01-07,-3869.91,-2388.69,1481.22,,,,,,
R5,COHORT,2026-01-14,7584.13,11135.55,3551.42,,,,,,
R5,COHORT,2026-01-21,4983.68,8540.72,3557.05,,,,,,
R5,COHORT,2026-01-28,3888.22,5744.77,1856.55,,,,,,
R5,COHORT,2026-02-04,3093.12,3093.12,0.0,,,,,,
R5,COHORT,2026-02-11,-5021.28,-5270.69,-249.41,,,,,,
R5,COHORT,2026-02-18,-3154.83,-3638.87,-484.04,,,,,,
R5,COHORT,2026-02-25,-1473.46,-1473.46,0.0,,,,,,
R5,COHORT,2026-03-04,302.68,2782.75,2480.06,,,,,,
R5,COHORT,2026-03-11,8355.54,8355.54,0.0,,,,,,
R5,COHORT,2026-03-18,5809.04,6132.78,323.75,,,,,,
R5,COHORT,2026-03-25,-338.0,124.01,462.01,,,,,,
R5,COHORT,2026-04-01,2314.05,3638.41,1324.36,,,,,,
R5,COHORT,2026-04-08,-785.34,2474.81,3260.16,,,,,,
R5,COHORT,2026-04-15,-2070.13,-4063.07,-1992.94,,,,,,
R5,COHORT,2026-04-22,-320.1,-5847.26,-5527.16,,,,,,
R5,COHORT,2026-04-29,2947.71,6104.3,3156.59,,,,,,
R5,COHORT,2026-05-06,-341.67,1267.76,1609.43,,,,,,
R5,COHORT,2026-05-13,-651.82,-1090.77,-438.96,,,,,,
R5,COHORT,2026-05-20,5632.92,7542.56,1909.64,,,,,,
R5,COHORT,2026-05-27,2341.16,4547.17,2206.02,,,,,,
R5,COHORT,2026-06-03,5186.88,11738.18,6551.3,,,,,,
R5,COHORT,2026-06-10,8318.95,18359.83,10040.89,,,,,,
R5,COHORT,2026-06-17,12552.88,10732.46,-1820.42,,,,,,
R5,COHORT,2026-06-24,3586.17,2710.37,-875.79,,,,,,
R5,COHORT,2026-07-01,4444.95,3390.17,-1054.78,,,,,,
R5,COHORT,2026-07-08,3291.69,5513.8,2222.11,,,,,,
R5,COHORT,2026-07-15,-3835.28,-1809.91,2025.37,,,,,,
R5,COHORT,2026-07-22,-3904.32,140.96,4045.28,,,,,,
R5,COHORT,2026-07-29,-174.61,914.83,1089.44,,,,,,
R5,COHORT,2026-08-05,-1154.47,2783.81,3938.29,,,,,,
R5,COHORT,2026-08-12,5783.64,5948.63,164.99,,,,,,
R5,COHORT,2026-08-19,2851.18,5692.89,2841.71,,,,,,
R5,COHORT,2026-08-26,1888.48,557.49,-1330.99,,,,,,
R5,SYMBOL_EFFECT,ASTC,,,10775.68,,,,,,
R5,SYMBOL_EFFECT,STI,,,6762.03,,,,,,
R5,SYMBOL_EFFECT,ZVZZT,,,-5904.28,,,,,,
R5,SYMBOL_EFFECT,AGL,,,-5452.08,,,,,,
R5,SYMBOL_EFFECT,UGRO,,,5191.0,,,,,,
R5,SYMBOL_EFFECT,INBS,,,4772.57,,,,,,
R5,SYMBOL_EFFECT,ROLR,,,4567.34,,,,,,
R5,SYMBOL_EFFECT,VEEE,,,4385.04,,,,,,
R5,SYMBOL_EFFECT,AKAN,,,3947.43,,,,,,
R5,SYMBOL_EFFECT,WETO,,,3638.61,,,,,,
R5,SYMBOL_EFFECT,DFNS,,,3135.68,,,,,,
R5,SYMBOL_EFFECT,PMI,,,-3109.61,,,,,,
R5,SYMBOL_EFFECT,SOGP,,,2870.43,,,,,,
R5,SYMBOL_EFFECT,INOD,,,2779.24,,,,,,
R5,SYMBOL_EFFECT,NPT,,,2700.8,,,,,,
