cohort_id,split,R0_RAW_CACHE_TOP8,R1_RECORDED_TOP8,R2_CERTIFIED_TOP8,raw_field_size,certified_field_size,membership_change_vs_recorded,order_only_change_vs_recorded,added_vs_recorded,dropped_vs_recorded,unrankable_unresolved
2025-11-12,IS,LXP;TERN;COGT;INBX;AXTI;CSIQ;SUPV;PUMP,TERN;COGT;INBX;AXTI;CSIQ;SUPV;PUMP;GGAL,GLTO;FRGE;TERN;COGT;INBX;AXTI;CSIQ;SUPV,1287,1317,True,False,GLTO;FRGE,PUMP;GGAL,0
2025-11-19,IS,LXP;TERN;OLMA;FRGE;COGT;MCRB;HAE;MH,TERN;OLMA;FRGE;COGT;MCRB;HAE;MH;CSIQ,TERN;OLMA;FRGE;COGT;CMCT;MCRB;HAE;MH,1286,1335,True,False,CMCT,CSIQ,0
2025-11-26,IS,LXP;OLMA;COGT;PACS;FRGE;HLF;MAGN;CGEM,OLMA;COGT;PACS;FRGE;HLF;MAGN;CGEM;TERN,OLMA;COGT;PACS;FRGE;HLF;MAGN;CGEM;TERN,1326,1356,False,False,,,0
2025-12-03,OOS,HPP;OLMA;PACS;SGML;SEMR;MAGN;ARWR;SRRK,HPP;OLMA;PACS;SGML;SEMR;MAGN;ARWR;SRRK,SMX;OLMA;AHMA;PACS;SGML;FLYE;SEMR;MAGN,1290,1320,True,False,SMX;AHMA;FLYE,HPP;ARWR;SRRK,0
2025-12-10,OOS,HPP;CAPR;WVE;PACS;GPCR;ALMS;PLAB;SEMR,HPP;CAPR;WVE;PACS;GPCR;ALMS;PLAB;SEMR,CAPR;OCG;WVE;PACS;GPCR;ALMS;PLAB;SEMR,1319,1336,True,False,OCG,HPP,0
2025-12-17,OOS,HPP;CAPR;WVE;VOR;GPCR;DBVT;VERA;FEIM,HPP;CAPR;WVE;VOR;GPCR;DBVT;VERA;FEIM,CAPR;WVE;VOR;GPCR;DBVT;VERA;CPAC;FEIM,1347,1364,True,False,CPAC,HPP,0
2025-12-24,OOS,WVE;GPCR;HYMC;ISSC;FEIM;SOC;RGC;KDK,WVE;GPCR;HYMC;ISSC;FEIM;SOC;RGC;KDK,AFJK;WVE;VELO;GPCR;HYMC;ISSC;FEIM;SOC,1249,1265,True,False,AFJK;VELO,RGC;KDK,0
2025-12-31,OOS,VELO;HYMC;PL;FEIM;OMER;FOLD;DVAX;LUNR,VELO;HYMC;PL;FEIM;OMER;FOLD;DVAX;LUNR,ASPC;GLSI;VELO;HYMC;EKSO;PL;FEIM;OMER,1208,1231,True,False,ASPC;GLSI;EKSO,FOLD;DVAX;LUNR,0
2026-01-07,IS,RGC;HYMC;VELO;SKYT;CRML;LUNR;VTYX;HUT,RGC;HYMC;VELO;SKYT;CRML;LUNR;VTYX;HUT,RGC;HYMC;INBS;VELO;SKYT;CRML;LUNR;VTYX,1342,1360,True,False,INBS,HUT,0
2026-01-14,IS,NBY;CRML;GLSI;AHMA;ALMS;BKKT;BIOA;SKYT,NBY;CRML;GLSI;AHMA;ALMS;BKKT;BIOA;SKYT,INBS;NBY;CRML;GLSI;AHMA;ALMS;BKKT;BIOA,1304,1328,True,False,INBS,SKYT,0
2026-01-21,IS,AMCR;CRVS;ALMS;CRML;RCAT;SKYT;UCTT;MRAM,CRVS;ALMS;CRML;RCAT;SKYT;UCTT;MRAM;ICHR,ROLR;CRVS;ALMS;CRML;RCAT;SKYT;UCTT;MRAM,1321,1353,True,False,ROLR,ICHR,0
2026-01-28,IS,BNAI;AMCR;CRVS;ERAS;RAPT;HYMC;ASM;ALMS,BNAI;CRVS;ERAS;RAPT;HYMC;ASM;ALMS;VTYX,BNAI;ANPA;CRVS;ERAS;MOVE;RAPT;HYMC;ASM,1276,1295,True,False,ANPA;MOVE,ALMS;VTYX,0
2026-02-04,OOS,BNAI;AMCR;CRVS;HOOZ;RAPT;OKLS;ASM;ERAS,BNAI;CRVS;HOOZ;RAPT;OKLS;ASM;ERAS;PKST,BNAI;CRVS;HOOZ;RAPT;OKLS;ASM;ERAS;PKST,1372,1406,False,False,,,0
2026-02-11,OOS,BNAI;NKTR;PLSE;VAL;HOOZ;EVMN;ASM;GOLD,BNAI;NKTR;PLSE;VAL;HOOZ;EVMN;ASM;GOLD,BNAI;NKTR;PLSE;VAL;HOOZ;ESOA;EVMN;ASM,1271,1301,True,False,ESOA,GOLD,0
2026-02-18,OOS,SMX;NKTR;FSLY;EVMN;ICHR;CGNX;TPH;AXTI,SMX;NKTR;FSLY;EVMN;ICHR;CGNX;TPH;AXTI,NKTR;FSLY;EVMN;ICHR;CGNX;TPH;AXTI;CC,1271,1309,True,False,CC,SMX,0
2026-02-25,OOS,AXTI;FSLY;NKTR;ICHR;EVMN;AEHR;ACHC;OIS,AXTI;FSLY;NKTR;ICHR;EVMN;AEHR;ACHC;OIS,AXTI;FSLY;NKTR;ICHR;EVMN;AEHR;ACHC;OIS,1322,1364,False,False,,,0
2026-03-04,IS,BATL;FSLY;BNAI;ACHC;FIGS;AXTI;AEHR;PRAA,BATL;FSLY;BNAI;ACHC;FIGS;AXTI;AEHR;PRAA,BATL;NPT;FSLY;BNAI;ACHC;FIGS;AXTI;AEHR,1340,1385,True,False,NPT,PRAA,0
2026-03-11,IS,BATL;NCI;AXTI;SOC;BNAI;AMPX;DAWN;TECX,BATL;NCI;AXTI;SOC;BNAI;AMPX;DAWN;TECX,BATL;NCI;AXTI;SOC;BNAI;AMPX;DAWN;TECX,1334,1387,False,False,,,0
2026-03-18,IS,BATL;DAWN;SOC;AMPX;VG;ZD;BW;DNTH,BATL;DAWN;SOC;AMPX;VG;ZD;BW;DNTH,BATL;DAWN;SOC;AMPX;VG;ZD;BW;DNTH,1309,1363,False,False,,,0
2026-03-25,IS,FUBO;QURE;SOC;AXTI;TNGX;DAWN;WATT;AGRO,QURE;SOC;AXTI;TNGX;DAWN;WATT;AGRO;SSL,QURE;SOC;AXTI;TNGX;DAWN;WATT;AGRO;SSL,1308,1360,False,False,,,0
2026-04-01,OOS,ZVZZT;OKLS;APLS;KOD;TBN;ORKA;FLY;SEDG,ZVZZT;OKLS;APLS;KOD;TBN;ORKA;FLY;SEDG,UGRO;OKLS;APLS;KOD;TBN;ORKA;FLY;SEDG,1383,1418,True,False,UGRO,ZVZZT,0
2026-04-08,OOS,FUBO;APLS;SPIR;KOD;AEHR;SLNO;FLY;ELVN,APLS;SPIR;KOD;AEHR;SLNO;FLY;ELVN;TH,UGRO;APLS;SPIR;KOD;AEHR;SLNO;FLY;ELVN,1297,1317,True,False,UGRO,TH,0
2026-04-15,OOS,APLS;KOD;CBIO;ANL;AEHR;YSS;AVNS;SGML,APLS;KOD;CBIO;ANL;AEHR;YSS;AVNS;SGML,BBGI;APLS;KOD;CBIO;ANL;AEHR;YSS;AVNS,1297,1311,True,False,BBGI,SGML,0
2026-04-22,OOS,XNDU;LWLG;POET;NVTS;YSS;MXL;AOSL;JBIO,XNDU;LWLG;POET;NVTS;YSS;MXL;AOSL;JBIO,XNDU;AGL;LWLG;POET;NVTS;YSS;MXL;AOSL,1328,1336,True,False,AGL,JBIO,0
2026-04-29,OOS,XNDU;MXL;OGN;WATT;RMAX;AVNS;SHAZ;ALMU,XNDU;MXL;OGN;WATT;RMAX;AVNS;SHAZ;ALMU,AKAN;XNDU;MXL;EDSA;OGN;WATT;RMAX;AVNS,1302,1322,True,False,AKAN;EDSA,SHAZ;ALMU,0
2026-05-06,IS,BAND;ONEG;SILC;MRAM;WOLF;RMAX;ATOM;ALMU,BAND;ONEG;SILC;MRAM;WOLF;RMAX;ATOM;ALMU,AKAN;BAND;ONEG;SILC;MRAM;WOLF;RMAX;ATOM,1329,1363,True,False,AKAN,ALMU,0
2026-05-13,IS,MRAM;AGL;RVI;WOLF;BAND;AMBQ;HIMX;QUIK,MRAM;AGL;RVI;WOLF;BAND;AMBQ;HIMX;QUIK,MRAM;AGL;ERNA;RVI;WOLF;BAND;AMBQ;HIMX,1333,1379,True,False,ERNA,QUIK,0
2026-05-20,IS,BAND;WOLF;POET;AMBQ;MRAM;RVI;OSS;RDW,BAND;WOLF;POET;AMBQ;MRAM;RVI;OSS;RDW,PIII;BAND;WOLF;POET;AMBQ;MRAM;RVI;OSS,1295,1347,True,False,PIII,RDW,0
2026-05-27,IS,MNTS;CPSH;RDW;TE;ENPH;VELO;AEVA;VOYG,MNTS;CPSH;RDW;TE;ENPH;VELO;AEVA;VOYG,PCLA;MNTS;CPSH;AKTX;RDW;TE;ENPH;VELO,1342,1364,True,False,PCLA;AKTX,AEVA;VOYG,0
2026-06-03,OOS,NCI;MNTS;BRUN;UMAC;TE;PSNL;QMCO;OPTX,NCI;MNTS;BRUN;UMAC;TE;PSNL;QMCO;OPTX,ASTC;MNTS;BRUN;UMAC;SWMR;TE;VSH;ENPH,1046,1416,True,False,ASTC;SWMR;VSH;ENPH,NCI;PSNL;QMCO;OPTX,0
2026-06-10,OOS,OCC;MNTS;UMAC;OPTX;QMCO;ALOY;CBRL;FWRD,OCC;MNTS;UMAC;OPTX;QMCO;ALOY;CBRL;FWRD,ASTC;STI;OCC;MNTS;SWMR;UMAC;OPTX;QMCO,1024,1382,True,False,ASTC;STI;SWMR,ALOY;CBRL;FWRD,0
2026-06-17,OOS,ZVZZT;HQ;QURE;ALOY;QMCO;TNGX;ZSQR;OCC,ZVZZT;HQ;QURE;ALOY;QMCO;TNGX;ZSQR;OCC,STI;HQ;QURE;ALOY;QMCO;TNGX;ZSQR;OCC,1006,1366,True,False,STI,ZVZZT,0
2026-06-24,OOS,DD;HQ;DFTX;QURE;ARQQ;WNC;ALHC;MAAS,DD;HQ;DFTX;QURE;ARQQ;WNC;ALHC;MAAS,HQ;DFTX;QURE;ARQQ;WNC;ALHC;MAAS;MBX,995,1388,True,False,MBX,DD,0
2026-07-01,IS,SDOT;HQ;ARQQ;BLZE;RGNX;DFTX;FCEL;SLS,SDOT;HQ;ARQQ;BLZE;RGNX;DFTX;FCEL;SLS,SDOT;HQ;ARQQ;BLZE;RGNX;NVCT;DFTX;MBX,1028,1434,True,False,NVCT;MBX,FCEL;SLS,0
2026-07-08,IS,MQ;RGNX;BLZE;DFTX;SLS;RPD;QURE;ZBIO,MQ;RGNX;BLZE;DFTX;SLS;RPD;QURE;ZBIO,CLRO;RGNX;BLZE;DFTX;SLS;RPD;MBX;GSHD,960,1364,True,False,CLRO;MBX;GSHD,MQ;QURE;ZBIO,0
2026-07-15,IS,MQ;FBRX;TRAX;RPD;PSNL;GRPN;QDEL;COAG,MQ;FBRX;TRAX;RPD;PSNL;GRPN;QDEL;COAG,VEEE;FBRX;ALIT;TRAX;RPD;PSNL;GRPN;QDEL,917,1314,True,False,VEEE;ALIT,MQ;COAG,0
2026-07-22,IS,MQ;TRAX;UTZ;COAG;BMNR;VG;RHI;CDNA,MQ;TRAX;UTZ;COAG;BMNR;VG;RHI;CDNA,VEEE;FBRX;TRAX;UTZ;ALIT;MAN;PBF;COAG,907,1317,True,False,VEEE;FBRX;ALIT;MAN;PBF,MQ;BMNR;VG;RHI;CDNA,0
2026-07-29,IS,TRAX;UTZ;CBZ;BLKB;AVTR;ETON;EFOR;EXLS,TRAX;UTZ;CBZ;BLKB;AVTR;ETON;EFOR;EXLS,FBRX;DFNS;TRAX;UTZ;CBZ;BLKB;MAN;AVTR,928,1332,True,False,FBRX;DFNS;MAN,ETON;EFOR;EXLS,0
2026-08-05,OOS,UTZ;EFOR;CDNA;CMCO;LIFE;BLKB;PLSE;LBRX,UTZ;EFOR;CDNA;CMCO;LIFE;BLKB;PLSE;LBRX,DFNS;FCUV;AMIX;UTZ;EFOR;FBRX;CDNA;CMCO,1005,1410,True,False,DFNS;FCUV;AMIX;FBRX,LIFE;BLKB;PLSE;LBRX,0
2026-08-12,OOS,DFNS;QMCO;LIFE;VREX;VOYG;EFOR;NIQ;BWMN,DFNS;QMCO;LIFE;VREX;VOYG;EFOR;NIQ;BWMN,DFNS;QMCO;LIFE;VREX;RNG;VOYG;EFOR;HZO,937,1322,True,False,RNG;HZO,NIQ;BWMN,0
2026-08-19,OOS,REPL;ABCL;QMCO;AMLX;SMJF;HTFL;FDMT;VOYG,REPL;ABCL;QMCO;AMLX;SMJF;HTFL;FDMT;VOYG,WETO;IPST;MRNA;REPL;ABCL;QMCO;AMLX;SMJF,943,1345,True,False,WETO;IPST;MRNA,HTFL;FDMT;VOYG,0
2026-08-26,OOS,REAX;ARCT;ABCL;QMCO;HTFL;ASST;PURR;AMLX,REAX;ARCT;ABCL;QMCO;HTFL;ASST;PURR;AMLX,ARCT;ABCL;QMCO;EDRY;HTFL;ASST;PURR;AMLX,915,1308,True,False,EDRY,REAX,0
